pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
B,3,19,bulb,light,,,lantern,,,lamp,0.03,0.02,bulb,,,na,na,na,na,,,,,,,,,,,,,,,non-face,English,,,1,,
B,4,20,butcher,meat,,,butcher,,,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,non-face,English,,,1,,
C,5,1,pepperoni,pizza,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,#word associations,"#1st response ""Italian"" becuase forgot about list",2,UK?,
C,6,2,crescent,moon,,,crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,USA,
C,5,3,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,4,retina,eyeball,,,iris,,,cornier,na,na,retina,na,na,,,,,,,,,,,,,,,,,,,face,English,,#cornier probably related to previous response,2,,
C,5,5,bouquet,flowers,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,6,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,7,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,8,sill,window,,,pane,,,edge,na,na,sill,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,9,acquaintance,friend,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,6,10,bank,money,,,cash,,,robber,0.04,0.12,bank,0.12,0.04,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,11,bulb,lamp,,,bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,"#""lamp"" on target list",2,,
C,6,12,brewery,beer,,,keg,,,yeast,na,na,brewery,na,na,,,,,,,,,,,,,,,,,,,face,English,,,2,,
C,5,13,occupation,job,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
