pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
I,18,16,occupation,job title,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,17,17,bouquet,wedding,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,18,18,acquaintance,friend,,,buddy,,,colleague,,,ally,,,workmate,,,acquaintance,,,,,,,,,,,,,,,face,English,,,1,,
I,17,19,bulb,light,,,bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,18,20,butcher,meat,,,veal,,,abattoir,,,butcher,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
J,19,1,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,UK,
J,20,2,bank,money,,,cash,,,withdraw,,,bank,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,Canada,
J,19,3,loaf,bread,,,bakery,,,bake,,,loaf,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,4,yolk,egg,,,hatch,,,orange,,,yolk,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,5,occupation,army,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,6,cod,fish,,,aquarium,,,species,,,cod,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,7,steed,noble,,,stallion,,,mighty,,,steed,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,8,retina,eye,,,brow,,,vision,,,retina,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,9,pepperoni,pizza,,,slice,,,sausage,,,pepperoni,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,10,sill,frame,,,pane,,,rational,,,sill,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,11,butcher,hook,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,12,grater,cheese,,,cheddar,,,grind,,,grater,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,13,acquaintance,friendly,,,ally,,,business,,,acquaintance,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,14,crescent,moon,,,crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,15,bulb, garlic,,,illumination,,,light,,,bulb,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,16,bouquet,flowers,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,17,crossword,The Financial Times,,,conundrum,,,puzzle,,,pieces,,,words,,,crossword,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,18,cob,corn,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,19,19,brewery,beer,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
J,20,20,affection,fondness,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,3,,
K,21,1,pepperoni,pizza,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,#word associations,#sig. Said pizza and meat,2,UK(Ireland),
K,22,2,crescent,moon,,,eclipse,,,shape,,,crescent,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,UK,
K,21,3,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,4,retina,eye,,,pupil,,,small,,,yolk,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,5,bouquet,flowers,,,roses,,,bunch,,,bouquet,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,6,laof,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,7,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,8,sill,window,,,glass,,,ledge,,,sill,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,9,acquaintance,associate,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,10,bank,money,,,cash,,,robber,,,bank,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,11,bulb,light,,,illumination,,,round,,,bulb,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,12,brewery,witch,,,ale,,,beer,,,keg,,,making,,,brewery,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,13,occupation,job,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,14,cob,corn,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,15,cod,fish,,,aquarium,,,stick,,,salmon,,,white,,,cod,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,16,butcher,meat,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,17,affection,love,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,18,steed,holt,,,steed,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
K,21,19,crossword,puzzle,,,jigsaw,,,numbers,,,conundrum,,,clues,,,crossword,,,,,,,,,,,,,,,non-face,English,,,2,,
K,22,20,grater,cheese,,,grater,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
L,23,1,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,"associations: what first comes into one's mind; to do with that assocs are common words as opposed to responses which rather similar/circumscribed, e.g. cod--> fish (on list could be salmon, aquarium, cod etc)",,4,South Africa,
L,24,2,retina,eye,,,pupil,,,lense,,,retina,,,,,,,,,,,,,,,,,,,,,face,English,,"#guesser: said glasses as second response, but not on list and then signaller said another cue (lense-->glasses-->screen -->)",4,UK,
L,23,3,acquaintance,associate,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,4,affection,love,,,infatuation,,,relationship,,,affection,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,23,5,crossword,puzzle,,,jigsaw,,,word game,,,crossword,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,6,bouquet,flowers,,,roses,,,roses,,,bouquet,,,,,,,,,,,,,,,,,,,,,face,English,,signaller said roses as second cue althought it was also second response,4,,
L,23,7,crescent,moon,,,midnight,,,shape,,,crescent,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,8,steed,horse,,,pony,,,riding,,,stallion,,,stud,,,steed,,,,,,,,,,,,,,,face,English,,,4,,
L,23,9,bank,deposit,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,10,occupation,job,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,23,11,bulb,light,,,bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,12,cob,cylinder,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,23,13,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,14,cod,fish,,,salmon,,,game,,,aquarium,,,oil,,,sushi,,,Atlantic,,,cod,,,,,,,,,face,English,,,4,,
L,23,15,grater,cheese,,,cheddar,,,shredding,,,grater,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,16,brewery,beer,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,23,17,pepperoni,pizza,,,slice,,,pepper,,,pepperoni,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,18,butcher,meat,,,meat,,,family,,,food,,,counter,,,steak,,,animals,,,veal,,,raw,,,butcher,,,face,English,,#signaller said meat and guesser guessed meat (was on the list and probably thought it is the target word..),4,,
L,23,19,blaze,forest,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,4,,
L,24,20,sill,window,,,glass,,,horizontal,,,curtain,,,shelf,,,sill,,,,,,,,,,,,,,,face,English,,,4,,
M,25,1,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,"word associations, linguistic meanings",,4,US,
M,26,2,retina,eyeball,,,retina,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,US,
M,25,3,acquaintance,friend,,,buddy,,,familiar,,,acquaintance,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,4,affection,loving,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,5,crossword,puzzle,,,jigsaw,,,newspaper,,,crossword,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,6,bouquet,roses,,,petals,,,romantic,,,bouquet,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,7,crescent,moon,,,eclipse,,,Islam,,,crescent,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,8,steed,might,,,steed,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,9,bank,vault,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,10,occupation,job,,,work,,,career,,,occupation,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,11,bulb,tulip,,,bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,12,cob,corn,,,maize,,,web,,,cob,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,13,loaf,lazy,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,14,cod,fish,,,salmon,,,common,,,cod,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,15,grater,cheese,,,cheddar,,,metal,,,grater,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,16,brewery,barrels,,,keg,,,wine,,,ale,,,grape field,,,brewery,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,17,pepperoni,salami,,,slice,,,pizza,,,pepperoni,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,18,butcher,cleaver,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,25,19,blaze,inferno,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
M,26,20,sill,window,,,sill,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,1,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,"language translations, interference by different people","###discard, signaller said target out loud",4,Central America?,
N,28,2,retina,eye,,,pupil,,,interior,,,iris,,,non-visible,,,retina,,,,,,,,,,,,,,,non-face,English,,"#sig said as second cue first ""eye not visible""",4,UK?,
N,27,3,acquaintance,colleague,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,4,affection,hugs,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,5,crossword,puzzle,,,jigsaw,,,opposite,,,conundrum,,,X,,,crossword,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,6,bouquet,flowers,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,7,crescent,circle,,,sun,,,half moon,,,crescent,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,8,steed,horse,,,stallion,,,riding,,,steed,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,9,bank,money,,,teller,,,bank,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,10,occupation,profession,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,11,bulb,light,,,lamp,,,energy,,,bulb,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,12,cob,corn,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,13,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,14,cod,fish,,,aquarium,,,food,,,sushi,,,white,,,salmon,,,fishfingers,,,cod,,,,,,,,,non-face,English,,,4,,
N,27,15,grater,cheese,,,cheddar,,,shapes,,,grater,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,16,brewery,beers,,,six pack,,,factory,,,brewery,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,17,pepperoni,pizza,,,slice,,,black,,,crust,,,circle,,,pepperoni,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,18,butcher,knives,,,steak,,,meat,,,butcher,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,27,19,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,4,,
N,28,20,sill,window,,,pane,,,bottom,,,sill,,,,,,,,,,,,,,,,,,,,,non-face,English,,guesser said pane and glass as response at once,4,,
