"","target","cue","results_forward","results_backward"
"3224","Gebiss","Opa",0.0408163265306122,NA
"3225","Gebiss","Senioren",0.0306122448979592,NA
"3226","Gebiss","Gebissreiniger",0.0204081632653061,NA
"3227","Gebiss","Großeltern",0.0102040816326531,NA
"3228","Gebiss","reinigen",0.0102040816326531,NA
"3229","Gebiss","Alter",0.0102040816326531,NA
"3230","Gebiss","Dritten",0.0102040816326531,NA
"3231","Gebiss","Rentner",0.0102040816326531,NA
"3232","Gebiss","beißen",0.0102040816326531,NA
"3233","Gebiss","rausfallen",0.0102040816326531,NA
"3234","Gebiss","Kiefer",0.0102040816326531,NA
"3235","Gebiss","Altenheim",0.0102040816326531,NA
"3236","Gebiss","putzen",0.0102040816326531,NA
"3237","Gebiss","Haftcreme",0.0102040816326531,NA
"3238","Gebiss","lose",0.0102040816326531,NA
"3239","Gebiss","weiß",0.0102040816326531,NA
"7749","Radio","Musik",0.51,NA
"7750","Radio","hören",0.1,NA
"7751","Radio","Sender",0.07,NA
"7752","Radio","Antenne",0.05,NA
"7753","Radio","laut",0.03,NA
"7754","Radio","Salue",0.03,NA
"7755","Radio","Unterhaltung",0.02,NA
"7756","Radio","Strand",0.01,NA
"7757","Radio","Funk",0.01,NA
"7758","Radio","Fernseher",0.01,0.0102040816326531
"7759","Radio","Sendung",0.01,NA
"7760","Radio","BBC",0.01,NA
"7761","Radio","Fußball",0.01,NA
"7762","Radio","Lied",0.01,NA
"7763","Radio","Fernsehen",0.01,NA
"7764","Radio","Wecker",0.01,0.01
"7765","Radio","Medien",0.01,NA
"7766","Radio","Digital",0.01,NA
"7767","Radio","anmachen",0.01,NA
"7768","Radio","Welle",0.01,NA
"7769","Radio","GEZ",0.01,NA
"7770","Radio","Nachrichten",0.01,NA
"7771","Radio","Uhrzeit",0.01,NA
"7772","Radio","Hörer",0.01,NA
"7773","Radio","UKW",0.01,NA
"7774","Radio","SWR3",0.01,NA
"4998","Feder","Vogel",0.208333333333333,0.0574712643678161
"4999","Feder","schreiben",0.0909090909090909,NA
"5000","Feder","leicht",0.0871212121212121,NA
"5001","Feder","Tinte",0.0416666666666667,0.0337078651685393
"5002","Feder","Gans",0.0303030303030303,NA
"5003","Feder","Indianer",0.0265151515151515,NA
"5004","Feder","fliegen",0.0265151515151515,NA
"5005","Feder","weich",0.0227272727272727,NA
"5006","Feder","kitzeln",0.0227272727272727,NA
"5007","Feder","Geflügel",0.0189393939393939,NA
"5008","Feder","Vögel",0.0189393939393939,NA
"5009","Feder","Kissen",0.0189393939393939,0.0112359550561798
"5010","Feder","Huhn",0.0189393939393939,NA
"5011","Feder","Bett",0.0151515151515152,NA
"5012","Feder","weiß",0.0151515151515152,NA
"5013","Feder","Schwan",0.0151515151515152,NA
"5014","Feder","Schreibfeder",0.0113636363636364,NA
"5015","Feder","Kiel",0.0113636363636364,NA
"5016","Feder","Pfau",0.0113636363636364,0.0833333333333333
"5017","Feder","Boa",0.0113636363636364,0.0588235294117647
"5018","Feder","Hut",0.0113636363636364,0.0171428571428571
"5019","Feder","Füller",0.0113636363636364,NA
"5020","Feder","Allergie",0.00757575757575758,NA
"5021","Feder","rupfen",0.00757575757575758,NA
"5022","Feder","Ente",0.00757575757575758,NA
"5023","Feder","Stift",0.00757575757575758,NA
"5024","Feder","Gefieder",0.00757575757575758,NA
"5025","Feder","Taube",0.00757575757575758,NA
"5026","Feder","Uhrwerk",0.00757575757575758,NA
"5027","Feder","schweben",0.00757575757575758,NA
"5028","Feder","Pfeil",0.00757575757575758,NA
"5029","Feder","Halter",0.00757575757575758,NA
"5030","Feder","Hühner",0.00757575757575758,NA
"5031","Feder","Schreibgerät",0.00757575757575758,NA
"5032","Feder","Flügel",0.00757575757575758,NA
"5033","Feder","Daunen",0.00757575757575758,NA
"5034","Feder","springen",0.00757575757575758,NA
"5035","Feder","Fledermaus",0.00378787878787879,NA
"5036","Feder","Bauteil",0.00378787878787879,NA
"5037","Feder","Ei",0.00378787878787879,NA
"5038","Feder","Federwaage",0.00378787878787879,NA
"5039","Feder","Ikarus",0.00378787878787879,NA
"5040","Feder","Papier",0.00378787878787879,NA
"5041","Feder","Strauß",0.00378787878787879,NA
"5042","Feder","flauschig",0.00378787878787879,NA
"5043","Feder","Schreibzeug",0.00378787878787879,NA
"5044","Feder","elastisch",0.00378787878787879,NA
"5045","Feder","Römer",0.00378787878787879,NA
"5046","Feder","schlafen",0.00378787878787879,NA
"5047","Feder","Metall",0.00378787878787879,NA
"5048","Feder","farbig",0.00378787878787879,NA
"5049","Feder","Luft",0.00378787878787879,NA
"5050","Feder","Kastrat",0.00378787878787879,NA
"5051","Feder","jagen",0.00378787878787879,NA
"5052","Feder","Federboa",0.00378787878787879,NA
"5053","Feder","Bauer",0.00378787878787879,NA
"5054","Feder","Federball",0.00378787878787879,0.0111111111111111
"5055","Feder","fallen_lassen",0.00378787878787879,NA
"5056","Feder","schießen",0.00378787878787879,NA
"5057","Feder","Federkissen",0.00378787878787879,NA
"5058","Feder","Fliegen",0.00378787878787879,NA
"5059","Feder","Traktor",0.00378787878787879,NA
"5060","Feder","Matratze",0.00378787878787879,0.0227272727272727
"5061","Feder","Nest",0.00378787878787879,NA
"5062","Feder","Füllfederhalter",0.00378787878787879,NA
"5063","Feder","Tier",0.00378787878787879,NA
"5064","Feder","Landwirtschaft",0.00378787878787879,NA
"5065","Feder","Eis",0.00378787878787879,NA
"5066","Feder","Füllfeder",0.00378787878787879,NA
"5067","Feder","alt",0.00378787878787879,NA
"5068","Feder","Vogelfeder",0.00378787878787879,NA
"5069","Feder","Art",0.00378787878787879,NA
"5070","Feder","Tintenfeder",0.00378787878787879,NA
"5071","Feder","Hahn",0.00378787878787879,0.00558659217877095
"17821","Schirm","Regen",0.283524904214559,0.0508474576271186
"17822","Schirm","Schutz",0.122605363984674,NA
"17823","Schirm","Sonne",0.114942528735632,NA
"17824","Schirm","aufspannen",0.0459770114942529,NA
"17825","Schirm","Regenschirm",0.0344827586206897,NA
"17826","Schirm","nass",0.0306513409961686,NA
