pair	participant	round	target	first_cue 	FAS	BAS_first	1st_response	FAS(cue->guess)	BAS(guess->cue)	2nd_cue	FAS	BAS	2nd_response	FAS	BAS	3rd_cue	FAS	BAS	3rd_response	FAS	BAS	4th_cue	FAS	BAS	4th_response	FAS	BAS	5th_cue	5th_response	FAS	BAS	condition (camera on/off)	1st_language	relation	ideas_ whatexperimentabout			comments	Version
C	6	6	loaf	bread	0,01	0,05	loaf	0,05	0,01																							face	English	None					2
C	5	7	blaze	fire	0,72	0,01	blaze	0,01	0,72																							face	English	None					2
C	6	8	sill	window	0,86	0,08	pane	0,17	0,69	edge	na	na	sill																			face	English	None					2
C	5	9	acquaintance	friend	0,68	0,02	acquaintance	0,02	0,68																							face	English	None					2
C	6	10	bank	money	0,4	na	cash	0,26	0,74	robber	0,04	0,12	bank	0,12	0,04																	face	English	None					2
C	5	11	bulb	lamp	0,03	0,02	bulb	0,03	0,02																							face	English	None				"#""lamp"" on target list"	2
C	6	12	brewery	beer	0,86	na	keg	na	0,76	yeast	na	na	brewery	na	na																	face	English	None					2
C	5	13	occupation	job	0,69	0,02	occupation	0,02	0,69																							face	English	None					2
C	6	14	cob	corn	0,86	0,17	kernel	na	0,4	small			maize			shoes			cob													face	English	None					2
C	5	15	cod	cape	0,02	0,15	cod	0,15	0,02																							face	English	None					2
C	6	16	butcher	meats, sg. .53, .01	na	na	butcher	na	na																							face	English	None					2
C	5	17	affection	love	0,72	0,02	affection	0,02	0,72																							face	English	None					2
C	6	18	steed	horse	0,8	0,01	foal	na	0,56	transportation	na	na	steed	na	na	na																face	English	None					2
C	5	19	crossword	puzzle	0,73	0,09	jigsaw	0,11	0,79	clues			riddle			writing			crossword													face	English	None					2
C	6	20	grater	cheese	0,8	na	nutmeg	na	na	nutmeg			grater																			face	English	None					2
D	7	1	pepperoni	salami	0,04	na	pepperoni	na	0,04																							non-face	English	None					2
D	8	2	crescent	moon	0,71	0,02	crescent	0,02	0,71																							non-face	English	None					2
D	7	3	yolk	egg	0,81	0,12	omelette	0,01	0,42	yellow			yolk																			non-face	English	None					2
D	8	4	retina	eye	0,84	na	pupil	0,01	0,32	lense	na	na	retina	na	na																	non-face	English	None					2
D	7	5	bouquet	flower #sg vs pl!	0,16	na	roses	na (vs pl)	.11 (vs. Pl)	bouquet			bouquet																			non-face	English	None					2
D	8	6	loaf	bread	0,01	0,05	loaf	0,05	0,01																							non-face	English	None					2
D	7	7	blaze	fire	0,72	0,01	combustion	na	0,34	wildfire	0,01	na	blaze	na	0,01																	non-face	English	None					2
D	8	8	sill	window	0,86	0,08	glass	0,17	0,05	frame			sill																			non-face	English	None					2
D	7	9	acquaintance	friend	0,68	0,02	acquaintance	0,02	0,68																							non-face	English	None					2
D	8	10	bank	money	0,4	na	cash	0,26	0,74	building	na	na	bank	na	na																	non-face	English	None					2
D	7	11	bulb	light	0,68	0,08	illumination	0,01	0,52	electric	0,01	0.02 (for light bulb)	bulb																			non-face	English	None					2
D	8	12	brewery	beer	0,86	na	brewery	na	0,86																							non-face	English	None					2
D	7	13	occupation	job	0,69	0,02	work	0,41	0,09	work			occupation																			non-face	English	None				"#sig accidentally provided response ""work"" also as a cue and then it was correct"	2
D	8	14	cob	corn	0,86	0,17	kernel	na	0,4	on			husk			long			cob													non-face	English	None					2
D	7	15	cod	fish	0,79	0,01	salmon	0,03	0,76	white fish			cod																			non-face	English	None					2
D	8	16	butcher	cutter	na	na	butcher	na	na																							non-face	English	None					2
D	7	17	affection	love	0,72	0,02	affection	0,02	0,72																							non-face	English	None					2
D	8	18	steed	mighty	na	na	steed	na	na																							non-face	English	None					2
D	7	19	crossword	cryptic	0,01	na	conundrum	na	0,01	word puzzle			riddle			grid			crossword													non-face	English	None					2
D	8	20	grater	cheese	0,8	na	grater	na	0,8																							non-face	English	None					2
E	9	1	pepperoni	salami	0,04	na	pepperoni	na	0,04																							face	English	None	"word cloud and predictions; if we can formulate  compound words; assocaitions"				2
E	10	2	crescent	moon	0,71	0,02	sun	0,22	.23#symm	street	0,02	na	crescent	na	0,02																	face	English	None					2
E	9	3	yolk	egg	0,81	0,12	nog	0,12	0,67	yellow	0,02	na	yolk	na	0,02																	face	English	None					2
E	10	4	retina	eye	0,84	na	brow	0,01	0,47	optical	na	0,01	pupil	na	na	sight	na	na	retina	na	na											face	English	None					2
E	9	5	bouquet	flowers	0,69	0,08	roses	0,07	0,19	bunch	na	na	bouquet	na	na																	face	English	None					2
E	10	6	loaf	bread	0,01	0,05	baguette	na	0,44	sugar	na	na	yeast	na	na	baking	na	na	bakery	na	na	banana	na	na	loaf	na	na					face	English	None					2
E	9	7	blaze	fire	0,72	0,01	combustion	na	0,34	uncontrolled	na	na	blaze	na	na																	face	English	None					2
E	10	8	sill	na	na	na	na	na	na	na	na	na	na																			face	English	None				sig acc. Said target word out loud, so need to discard trial	2
E	9	9	acquaintance	unfamiliar	na	na	acquaintance	na	na																							face	English	None					2
E	10	10	bank	heist	na	0,08	bank	0,08	na																							face	English	None					2
E	9	11	bulb	leish	na	na	bulb	na	na																							face	English	None					2
E	10	12	brewery	Hobbes/beer	0,86	na	six pack	na	0,39	yeast	na	na	brewery	na	na																	face	English	None					2
E	9	13	occupation	position	na	na	occupation	na	na																							face	English	None					2
E	10	14	cob	corn	0,86	0,17	cob	0,17	0,86																							face	English	None					2
E	9	15	cod	deepfried	na	na	cod	na	na																							face	English	None					2
E	10	16	butcher	abattoir	0,01	na	veal	na	na	meat	0,53	0,01	steak	0,08	0,33	business	na	na	butcher	na	na											face	English	None					2
E	9	17	affection	gestures	na	na	affection	na	na																							face	English	None				"#wrong round, 19; guesser already knew it's not adoration"	2
E	10	18	steed	noble	0,03	0,02	steed	0,02	0,03																							face	English	None					2
E	9	19	crossword	cross	na	na	crossword	na	na																							face	English	None				#sig. Repeated words from 17, #cross as cue is part of the target word.	2
E	10	20	grater	cheese	0,8	na	grater	na	0,8																							face	English	None					2
F	11	1	blaze	fire	0,72	0,01	blaze	0,01	0,72																							face	English	None	word associations, how certain words associated with other words/which word associated first/connection certain words with mental image (why this and not that..)				3
F	12	2	bank	money	0,4	na	cash	0,26	0,74	savings	0,01	0,18	finances	sg. .01	na	building	na	na	bank	na	na											face	English	None					3
F	11	3	loaf	bread	0,01	0,05	loaf	0,05	0,01																							face	English	None					3
F	12	4	yolk	egg	0,81	0,12	yolk	0,12	0,81																							face	English	None					3
F	11	5	occupation	job	0,69	0,02	work	0,41	0,09	profession	na	0,03	career	0,08	0,03	vocation	0,01	na	occupation	na	0,01											face	English	None			#vocation is also on the gusser's list		3
F	12	6	cod	fish	0,79	0,01	salmon	0,03	0,76	dinner	na	na	sushi	na	na	big	na	na	cod	na	na											face	English	None					3
F	11	7	steed 	horse	0,8	0,01	stallion	0,01	0,79	riding	na	na	steed	na	na																	face	English	None					3
F	12	8	retina	eyeball	0,04	0,02	pupil	0,02	0,04	sensitive	na	na	retina	na	na																	face	English	None					3
F	11	9	pepperoni	sausage	0,07	na	pepperoni	na	0,07																							face	English	None					3
F	12	10	sill	window	0,86	0,08	shelf	na	na	pane	na	na	sill	na	na																	face	English	None					3
F	11	11	butcher	meat	0,53	0,01	steak	0,08	0,33	shop	na	na	butcher	na	na																	face	English	None					3
F	12	12	grater	cheese	0,8	na	cheddar	0,07	0,94	shredding, but grter shredder is .01!	na	na	grater	na	na																	face	English	None					3
F	11	13	acquaintance	friend	0,68	0,02	buddy	0,09	0,57	associate	na	0,01	acquaintance	0,01	na																	face	English	None					3
F	12	14	crescent	moon	0,71	0,02	crescent	0,02	0,71																							face	English	None					3
F	11	15	bulb	light	0,68	0,08	lamp	0,02	0,66	spherical	na	na	bulb	na	na																	face	English	None					3
F	12	16	bouquet	flowers	0,69	0,08	bouquet	0,08	0,69																							face	English	None					3
F	11	17	crossword	puzzle	0,73	0,09	jigsaw	0,11	0,79	newspaper	0,03	0,01	crossword	0,01	0,03																	face	English	None					3
F	12	18	cob	web	0,03	na	cob	na	0,03																							face	English	None					3
F	11	19	brewery	beer	0,86	na	lager	0,04	0,82	building	na	na	brewery	na	na																	face	English	None					3
F	12	20	affection	love	0,72	0,02	affection	0,02	0,72																							face	English	None					3
G	13	1	blaze	fire	0,72	0,01	blaze	0,01	0,72																							non-face	English	None	"1st word coming into head; about different parts of words/functions of words"				3
G	14	2	bank	deposit	na	0,34	bank	0,34	na																							non-face	English	None	"signaller 14 got quickly that words rather similar and thus a fully discrim. Attribute is a good cue, such as ""crescent"" -""finger nail"" etc."				3
G	13	3	loaf	bread	0,82	0,05	loaf	0,05	0,82																							non-face		None					3
G	14	4	yolk	egg	0,81	0,12	nog	0,12	0,67	center	na	na	yolk	na	na																	non-face		None				"#""center"" based on previous word.."	3
G	13	5	occupation	job	0,69	0,02	occupation	0,02	0,69																							non-face		None					3
G	14	6	cod	fish	0,79	0,01	salmon	0,03	0,76	plant	na	na	sushi	na	na	finger	na	na	fin	na	na	chips	na	na	cod	na	na	na	na			non-face		None					3
G	13	7	steed 	horse	0,8	0,01	pony	0,07	0,56	female	na	na	mare	na	0,01	riding	na	na	horse, not steed?													non-face		None				"#sig. Didn't know what ""steed"" means so I wrote in the private chat"	3
G	14	8	retina	eye	0,84	na	pupil	0,01	0,32	nerve	na	na	retina	na	na																	non-face		None				#answers sent as privat message to me, realized that sig. Could not see it for that trial	3
G	13	9	pepperoni	pizza	0,75	0,09	slice	0,03	0,14	round	na	na	pepperoni	na	na																	non-face		None				"#""round"" based on previous words…"	3
G	14	10	sill	ledge	na	0,04	sill	0,04	 na																							non-face		None					3
G	13	11	butcher	meat	0,53	0,01	steak	0,08	0,33	cutter	na	na	butcher	na	na																	non-face		None					3
G	14	12	grater	"shredding; shredder:.01, na; same as shredding!"	0,01	na	grater	na	0,01																							non-face		None					3
G	13	13	acquaintance	friend	0,68	0,02	buddy	0,09	0,57	common	na	na	acquaintance	na	na																	non-face		None					3
G	14	14	crescent	finger nail	na	na	crescent	na	na																							non-face		None					3
G	13	15	bulb	source	na	na	beacon	na	na	light	0,68	0,08	lamp	na	0,66	round (for rounded: FAS.01)	na	0,03	bulb	0,03	na											non-face		None				"#""round"" again based on previous words…"	3
G	14	16	bouquet	assortment	na	na	bouquet	na	na																							non-face		None					3
G	13	17	crossword	puzzle	0,73	0,09	jigsaw	0,11	0,79	words	0,04	0,01	crisscross/newspaper =cue!			crossword																non-face		None				"#sig.: said ""words"" as cue which is within ""words"" + said ""criss cross"" first, guesser couldn't hear it and then signaller said another cue word "	3
G	14	18	cob	corn	0,86	0,17	cob	0,17	0,86																							non-face		None					3
G	13	19	brewery	beer	0,86	na	lager	0,04	0,82	creating	na	na	brewery	na	na																	non-face		None				"#sig. Wasn't sure about the word; ""creating"" again based on previous words"	3
G	14	20	affection	fondness	na	0,13	attraction	na	na	herently?	na	na	affection	na	na																	non-face		None					3
H	15	1																														non-face		None					3
H	16	2																																					
H	15	3																																					
H	16	4																																					
H		5																																					
H		6																																					
H		7																																					
H		8																																					
H		9																																					
H		10																																					
		11																																					
		12																																					
		13																																					
		14																																					
		15																																					
		16																																					
		17																																					
		18																																					
		19																																					
		20																																					
