pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country
J,19,13,Butter,Brot,,,Scheibe,,,Fett,,,Butter,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,14,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,15,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,16,Lehrerin,Schule,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,17,Mauer,Steine,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,18,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,19,Pilz,Champignon,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,20,Brücke,Fluss,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
K,21,1,Kamm,Bürste,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,"word associations, mental image with a word","sig.: ""Bürste, Haarbürste""",3,Österreich?
K,22,2,Butter,Brotaufstrich,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,3,Pilz,Infektion,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,4,Hafen,Leuchtturm,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,5,Radio,Musik,,,Kassette,,,Moderator,,,Radio,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,6,Lilie,Trauerblume,,,Lilie,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,7,Axt,Baum,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,8,Lehrerin,Schülerin,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,9,Hammer,Mauer,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,10,Schirm,Regen,,,Gummistiefel,,,Freefall,,,Schirm,,,,,,,,,,,,,,,,,,,,,face,German,,"sig. Provided English cue word (also known in German): ""Freefall""",3,
K,21,11,Knochen,Bruch,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,12,Krone,König,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,13,Paddel,Boot,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,14,Mauer,Mörtel,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,15,Dach,Decke,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,16,Rüstung,Ritter,,,Burg,,,Schild,,,Schwert,,,Schildkröte,,,Rüstung,,,,,,,,,,,,,,,face,German,,,3,
K,21,17,Brücke,Fluss,,,Kanu,,,Weg,,,Brücke,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,18,Gebiss,Senior,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,21,19,Feder,Stift,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
K,22,20,Brunnen,Grundwasser,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,3,
L,23,1,Kamm,Haare,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,#information through conversation/interaction; prior bias/action patterns; promotion/put oneself in s.o. shoes; development throughout the 20 stims,,3,
L,24,2,Butter,fett,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,3,Pilz,Champignon,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,4,Hafen,Schiffsanfahrtsstelle,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,5,Radio,Antenne Bayern,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,6,Lilie,Teich,,,Lilie,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,7,Axt,Holzfäller,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,8,Lehrerin,Notenverteilung/-vergabe,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#Notenvergabe, Notenverteilung, sig. said both",3,
L,23,9,Hammer,Thor,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#sig. Indicated that word can have 2 meanings (""Tor"", gate, and proper name ""Thor"")",3,
L,24,10,Schirm,Schutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,11,Knochen,Mark,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,12,Krone,Artus,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,13,Paddel,Steuerwerkzeug,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,14,Mauer,DDR,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,15,Dach,einstürzen,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,16,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,17,Brücke,Venedig,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,18,Gebiss,Zähne,,,Mund,,,kauen,,,Gebiss,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,23,19,Feder,Tintenfass,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
L,24,20,Brunnen,Grundwasser,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,3,
M,25,1,Lilie,Blume,,,Blüte,,,Wasser,,,Gießkanne,,,Sommer,,,Lilie,,,,,,,,,,,,,,,non-face,German,"lexical fields, hyperonyms (""comprehensive/spanning words"" = übergreifende Wörter)","guesser wasn't aware of list of potential target words and said ""Wiese"" (meadow) first",4,
M,26,2,Hammer,Amboss,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,3,Gebiss,Zähne,,,Zahnarzt,,,Zähne,,,Gebiss,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,4,Axt,Holzfäller,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,5,Brücke,Fluss,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,6,Schirm,Unwetter,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,7,Dach,Giebel,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,8,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,9,Mauer,Zement,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,10,Kamm,Friseur,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,11,Radio,Autofahrt,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,12,Butter,Magarine,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,13,Lehrerin,Unterricht,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,14,Pilz,Champignon,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,15,Brunnen,Wasser,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,16,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,17,Hafen,Handel,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,18,Feder,Hut,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,25,19,Krone,König,,,Königin,,,Schmuck,,,Krone,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
M,26,20,Paddel,Boot,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,4,
N,27,1,Lilie,Blume,,,Tulipe,,,Beerdigung,,,Lilie,,,,,,,,,,,,,,,,,,,,,face,German,Wortassoziationen,,4,
N,28,2,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,3,Gebiss,Zähne,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,4,Axt,Holz,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,5,Brücke,Fluss,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,6,Schirm,Regen,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,7,Dach,Haus,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,8,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,9,Mauer,Grenze,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,10,Kamm,Bürste ,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,11,Radio,Rundfunk,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,12,Butter,Magarine,,,Buttter,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,13,Lehrerin,Schule,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,14,Pilz,Champignon,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,15,Brunnen,Frischwasser,,,Fontäne,,,Pumpe,,,Schlauch,,,Loch,,,Brunnen,,,,,,,,,,,,,,,face,German,,,4,
N,28,16,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,17,Hafen,Schiffe,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,18,Feder,Vogel,,,Kuckuck,,,schreiben,,,Feder,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,27,19,Krone,König,,,Thron,,,Kopf,,,Krone,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
N,28,20,Paddel,Ruder,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,4,
