pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country
C,6,2,Radio,Musiksender,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,3,Axt,Gartenarbeit,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,"#guesser first understood ""Klassenarbeit""",2,
C,6,4,Hafen,Schiffstopp,,,Anker,,,Halt,,,Hafen,,,,,,,,,,,,,,,,,,,,,face,German,,"#signaller said: ""okay, Ich weiß zwar nicht, ob es das Wort gibt""",2,
C,5,5,Lehrerin,Instruktion,,,Schultafel,,,Leiterin,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,6,Mauer,Grenze,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,7,Hammer,Werkzeug,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,8,Lilie,Blume,,,Tulpe,,,gelb,,,Blüte,,,Blumenart,,,Rose,,,Frühling,,,Lilie,,,,,,,,,face,German,,,2,
C,5,9,Krone,Königszeichen,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,10,Kamm,Haare,,,Perücke,,,Werkzeug,,,Kamm,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,11,Paddel,Bootsbestandteil,,,Anker,,,Stange,,,Paddel,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,12,Schirm,Regenschutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,13,Brücke,Wasserüberquerung,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,14,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,15,Butter,Frühstückszutat,,,Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,16,Feder,Vogel,,,Kuckuck,,,Bestandteil,,,Feder,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,5,17,Brunnen,Quelle,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,18,Rüstung,Ritter,,,Mittelalter,,,Schutz,,,Schwert,,,Bekleidung,,,Rüstung,,,,,,,,,,,,,,,face,German,,,2,
C,5,19,Dach,Schutz,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
C,6,20,Gebiss,Zähne,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,1,Pilz,Wald,,,Jäger,,,Risotto,,,Pilz,,,,,,,,,,,,,,,,,,,,,face,German,"#which words are chosen #types of words, e.g. verbs or nouns as cues",,2,
D,8,2,Radio,Rundfunk,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,3,Axt,fällen,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,4,Hafen,Schiffe,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,5,Lehrerin,Notengeberin,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,6,Mauer,Maurer,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,"#""Maurer"" as cue for ""Mauer""; cue word shouldn't include target word!",2,
D,7,7,Hammer,Nagel,,,Feile,,,Speer,,,Daumen,,,Wand,,,Bild,,,,,,Hammer,,,,,,,,,face,German,,"#2nd response was probably still related to first cue, Nagel -> Feile; Nagel --> Daumen, rather than Speer --> Daumen; unfortunately guesser said Hammer (4th response)  right after ""Bild"", so there's no 4th cue available, only a 4th response",2,
D,8,8,Lilie,Bluete,,,Rose,,,Friedhof,,,Gießkanne,,,weiß,,,Lilie,,,,,,,,,,,,,,,face,German,,#Blüte in den Vorschlägen,2,
D,7,9,Krone,Königin,,,Thron,,,Kopf,,,Krone,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,10,Kamm,Haare,,,Perücke,,,entwirren,,,Kamm,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,11,Paddel,Kanu,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,12,Schirm,Regen,,,Rinne,,,Stiel,,,Schirm,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,13,Brücke,überqueren,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,14,Knochen,gebrochen,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,15,Butter,schmelzen,,,Käse,,,Fett ,,,Butter,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,16,Feder,leicht,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,17,Brunnen,tief,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,18,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,7,19,Dach,Schutz,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
D,8,20,Gebiss,Alter,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
E,9,1,Pilz,Wald,,,Baum,,,giftig,,,Pilz,,,,,,,,,,,,,,,,,,,,,non-face,German,"#communication, finding language when you cannot see your vis-à-vis",#Baum not on guesser's list!,2,
E,10,2,Radio,Musik,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,#word formation/-etymology,,2,
E,9,3,Axt,fällen,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,4,Hafen,Schiff,,,Hafen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,9,5,Lehrerin,Schule,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,6,Mauer,Mörtel,,,Statue,,,Steine,,,Mauer,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,9,7,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
E,10,8,Lilie,Blume,,,Blüte,,,orange,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#sig: ""orange, beispielsweise"" as 2nd cue",2,
E,9,9,Krone,König,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
